variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1984,20,34,111,115,0.3063063063063063,0.9652173913043478,3,3,17
95,16,34,107,121,0.3177570093457944,0.8842975206611571,3,0,20
1999,24,34,107,112,0.3177570093457944,0.9553571428571429,3,0,30
187,2,34,103,123,0.3300970873786408,0.8373983739837398,3,6,15
1292,8,35,141,146,0.24822695035460993,0.9657534246575342,3,5,16
1115,19,35,140,150,0.25,0.9333333333333333,3,2,25
1218,18,35,139,141,0.2517985611510791,0.9858156028368794,3,10,14
174,17,35,135,160,0.25925925925925924,0.84375,3,4,24
1986,12,35,135,166,0.25925925925925924,0.8132530120481928,3,2,18
705,5,35,133,137,0.2631578947368421,0.9708029197080292,3,2,30
1083,26,35,133,144,0.2631578947368421,0.9236111111111112,3,1,32
1590,5,35,133,141,0.2631578947368421,0.9432624113475178,3,6,20
378,17,35,132,138,0.26515151515151514,0.9565217391304348,3,0,27
1005,23,35,128,130,0.2734375,0.9846153846153847,3,0,32
297,27,35,127,133,0.2755905511811024,0.9548872180451128,3,1,19
1097,17,35,126,135,0.2777777777777778,0.9333333333333333,3,7,19
1661,4,35,126,128,0.2777777777777778,0.984375,3,1,32
1150,10,35,124,131,0.28225806451612906,0.9465648854961832,3,3,18
203,13,35,122,126,0.28688524590163933,0.9682539682539683,3,6,18
1009,20,35,122,125,0.28688524590163933,0.976,3,5,21
1952,21,35,119,130,0.29411764705882354,0.9153846153846154,3,0,22
1975,23,35,119,125,0.29411764705882354,0.952,3,1,32
1052,17,35,116,145,0.3017241379310345,0.8,3,10,13
1166,28,35,113,115,0.30973451327433627,0.9826086956521739,3,1,20
22,25,35,112,118,0.3125,0.9491525423728814,3,0,32
1175,21,35,108,122,0.32407407407407407,0.8852459016393442,3,1,32
1334,7,35,105,114,0.3333333333333333,0.9210526315789473,3,0,29
1239,11,35,102,115,0.3431372549019608,0.8869565217391304,3,0,32
1212,7,35,97,109,0.36082474226804123,0.8899082568807339,3,9,15
1341,13,35,93,204,0.3763440860215054,0.45588235294117646,3,8,17
544,26,35,91,111,0.38461538461538464,0.8198198198198198,3,1,32
610,27,36,149,159,0.24161073825503357,0.9371069182389937,3,1,24
938,23,36,146,147,0.2465753424657534,0.9931972789115646,3,6,21
1858,15,36,146,151,0.2465753424657534,0.9668874172185431,3,0,27
1516,6,36,144,146,0.25,0.9863013698630136,3,3,18
436,27,36,142,153,0.2535211267605634,0.9281045751633987,3,2,20
1609,9,36,141,145,0.2553191489361702,0.9724137931034482,3,0,32
