variant_id,object_id,z_shift,table_x,table_y,object_mass,attempts,successes,failures,success_rate
793,4,0.7068449258804321,0.5638034343719482,0.9048688411712646,0.6930879354476929,51,5,46,0.09803921568627451
675,12,0.6722539663314819,0.5326593518257141,1.0952439308166504,0.3502160906791687,51,5,46,0.09803921568627451
1532,25,0.5128399729728699,0.5747321844100952,0.8834831118583679,0.676692545413971,51,5,46,0.09803921568627451
1824,26,0.6102222204208374,0.5361793041229248,0.8370606899261475,0.7378067970275879,40,4,36,0.1
757,26,0.7276157736778259,0.5329276323318481,0.8226577639579773,0.22332686185836792,40,4,36,0.1
208,17,0.6339988708496094,0.5620908737182617,0.615059494972229,0.797435998916626,40,4,36,0.1
1294,17,0.6017341613769531,0.6596367359161377,0.6661944389343262,0.589871883392334,40,4,36,0.1
1742,4,0.4283435344696045,0.5521166920661926,0.9790545701980591,0.7253435254096985,50,5,45,0.1
1872,27,0.4008103907108307,0.5145536065101624,1.1880905628204346,0.2591073513031006,40,4,36,0.1
281,26,0.6663587093353271,0.5487199425697327,1.0744240283966064,0.7343993186950684,50,5,45,0.1
292,4,0.7126362919807434,0.6872791051864624,1.133888602256775,0.6944560408592224,50,5,45,0.1
493,26,0.42539313435554504,0.5139309167861938,0.6426644325256348,0.400722473859787,49,5,44,0.10204081632653061
1002,12,0.47651684284210205,0.5807158946990967,1.125511646270752,0.5505344271659851,49,5,44,0.10204081632653061
204,25,0.7204705476760864,0.6914721727371216,1.0121078491210938,0.3568284809589386,49,5,44,0.10204081632653061
1316,25,0.6007086634635925,0.5260208249092102,1.0829284191131592,0.6659902334213257,49,5,44,0.10204081632653061
256,17,0.7153476476669312,0.656708836555481,1.0046393871307373,0.21098648011684418,39,4,35,0.10256410256410256
1217,4,0.5209193825721741,0.5430541038513184,0.9253733158111572,0.28061240911483765,39,4,35,0.10256410256410256
1678,4,0.5224125981330872,0.5156531929969788,1.0448049306869507,0.6390764117240906,48,5,43,0.10416666666666667
1463,4,0.7597740888595581,0.6005602478981018,1.0006734132766724,0.23776228725910187,48,5,43,0.10416666666666667
313,5,0.5240778923034668,0.5784991979598999,0.9169409871101379,0.3922252655029297,48,5,43,0.10416666666666667
2039,17,0.43162792921066284,0.5167390704154968,1.1582039594650269,0.6054134964942932,38,4,34,0.10526315789473684
1817,13,0.6787340641021729,0.6122613549232483,0.6113309860229492,0.6228117346763611,57,6,51,0.10526315789473684
2034,5,0.771973192691803,0.5705293416976929,0.9951493740081787,0.6241186857223511,38,4,34,0.10526315789473684
1411,26,0.7375730276107788,0.6178240180015564,1.0982574224472046,0.45646345615386963,38,4,34,0.10526315789473684
299,17,0.4884083569049835,0.5328909754753113,0.618961751461029,0.3863081932067871,57,6,51,0.10526315789473684
1424,25,0.6320063471794128,0.5926377177238464,0.7467942237854004,0.6430538296699524,47,5,42,0.10638297872340426
1032,25,0.7472372055053711,0.5787712931632996,1.003533124923706,0.586414098739624,47,5,42,0.10638297872340426
568,27,0.642350435256958,0.6186838746070862,0.882881760597229,0.2774372398853302,47,5,42,0.10638297872340426
949,25,0.6706023216247559,0.6125518679618835,0.8023043274879456,0.23857295513153076,47,5,42,0.10638297872340426
1250,12,0.7789968252182007,0.6516676545143127,0.922118067741394,0.6102752685546875,47,5,42,0.10638297872340426
1051,6,0.4161607027053833,0.6873411536216736,0.7699942588806152,0.3817281126976013,47,5,42,0.10638297872340426
414,17,0.6737069487571716,0.5209037065505981,0.9827649593353271,0.7594243288040161,37,4,33,0.10810810810810811
