variant_id,correct_success_count,total_success_count,wrong_success_count
831,28,68,40
832,47,67,20
833,20,58,38
834,30,70,40
835,31,58,27
836,28,64,36
837,16,48,32
838,27,69,42
839,21,57,36
840,27,70,43
841,6,54,48
842,31,53,22
843,35,70,35
844,37,67,30
845,19,47,28
846,28,49,21
847,36,67,31
848,23,63,40
849,27,68,41
850,39,57,18
851,52,65,13
852,27,61,34
853,34,60,26
854,14,64,50
855,29,67,38
856,20,49,29
857,15,58,43
858,14,54,40
859,33,56,23
860,18,68,50
861,12,60,48
862,23,56,33
863,26,65,39
864,29,48,19
865,28,69,41
866,45,64,19
867,44,63,19
868,43,65,22
869,28,71,43
870,7,44,37
871,26,63,37
872,28,58,30
873,43,66,23
874,19,61,42
875,41,59,18
876,24,56,32
877,43,68,25
878,18,49,31
879,31,57,26
880,42,67,25
881,28,55,27
882,20,56,36
883,21,57,36
884,29,68,39
885,24,59,35
886,42,63,21
887,26,71,45
888,32,62,30
889,26,67,41
890,40,68,28
891,47,72,25
892,27,71,44
893,31,63,32
894,26,61,35
895,32,60,28
896,23,63,40
897,21,72,51
898,20,62,42
899,37,64,27
900,18,55,37
901,30,71,41
902,26,60,34
903,22,56,34
904,35,68,33
905,25,56,31
906,29,60,31
907,20,58,38
908,31,55,24
909,31,68,37
910,18,58,40
911,36,65,29
912,40,67,27
913,30,66,36
914,37,64,27
915,18,75,57
916,28,66,38
917,31,64,33
918,48,70,22
919,26,66,40
920,27,71,44
921,25,56,31
922,13,38,25
923,26,57,31
924,18,66,48
925,25,56,31
926,24,61,37
927,19,65,46
928,18,67,49
929,16,70,54
930,39,58,19
931,20,49,29
932,17,68,51
933,19,70,51
934,30,58,28
935,15,59,44
936,22,57,35
937,35,62,27
938,24,69,45
939,32,64,32
940,27,59,32
941,23,58,35
942,15,68,53
943,42,68,26
944,32,63,31
945,29,72,43
946,22,52,30
947,14,64,50
948,37,60,23
949,22,65,43
950,25,68,43
951,43,63,20
952,12,63,51
953,28,66,38
954,41,58,17
955,35,63,28
956,17,68,51
957,16,59,43
958,30,70,40
959,31,54,23
960,26,62,36
961,24,58,34
962,25,59,34
963,23,57,34
964,26,69,43
965,27,67,40
966,19,69,50
967,44,65,21
968,26,63,37
969,37,63,26
970,23,72,49
971,11,57,46
972,10,60,50
973,21,60,39
974,23,62,39
975,20,49,29
976,22,64,42
977,24,61,37
978,16,69,53
979,35,76,41
980,39,65,26
981,28,57,29
982,29,65,36
983,29,68,39
984,20,57,37
985,26,63,37
986,11,54,43
987,19,70,51
988,34,51,17
989,22,58,36
990,46,64,18
991,10,56,46
992,27,65,38
993,23,47,24
994,17,51,34
995,37,72,35
996,25,65,40
997,29,49,20
998,26,51,25
999,43,71,28
1000,24,63,39
1001,20,48,28
1002,18,52,34
1003,35,56,21
1004,37,63,26
1005,22,59,37
1006,53,68,15
1007,30,60,30
1008,13,58,45
1009,13,55,42
1010,33,61,28
1011,37,75,38
1012,40,62,22
1013,16,58,42
1014,27,63,36
1015,24,60,36
1016,30,57,27
1017,19,54,35
1018,23,63,40
1019,43,59,16
1020,18,54,36
1021,44,67,23
1022,31,55,24
1023,33,58,25
1024,37,66,29
1025,31,63,32
1026,32,69,37
1027,10,52,42
1028,26,59,33
1029,23,63,40
1030,10,58,48
1031,32,59,27
1032,28,69,41
1033,26,59,33
1034,27,69,42
1035,32,60,28
1036,35,58,23
1037,21,61,40
1038,26,55,29
1039,22,65,43
1040,23,52,29
1041,43,70,27
1042,37,57,20
1043,22,68,46
1044,20,65,45
1045,44,69,25
1046,32,60,28
1047,21,62,41
1048,16,60,44
1049,28,66,38
1050,24,59,35
1051,30,54,24
1052,11,61,50
1053,36,67,31
1054,22,62,40
1055,15,46,31
1056,36,61,25
1057,15,46,31
1058,17,60,43
1059,32,68,36
1060,35,70,35
1061,25,71,46
1062,25,51,26
1063,17,58,41
1064,16,55,39
1065,36,63,27
1066,38,61,23
1067,30,58,28
1068,26,50,24
1069,35,60,25
1070,18,53,35
1071,22,64,42
1072,22,62,40
1073,30,60,30
1074,27,46,19
1075,16,58,42
1076,27,58,31
1077,43,70,27
1078,23,63,40
1079,29,63,34
1080,33,67,34
1081,22,64,42
1082,35,65,30
1083,20,61,41
1084,20,64,44
1085,46,70,24
1086,13,59,46
1087,13,44,31
1088,29,60,31
1089,33,64,31
1090,37,73,36
1091,32,68,36
1092,20,50,30
1093,23,54,31
1094,44,71,27
1095,33,68,35
1096,24,56,32
1097,23,61,38
1098,22,61,39
1099,12,53,41
1100,30,67,37
1101,34,67,33
1102,23,48,25
1103,31,58,27
1104,25,59,34
1105,24,75,51
1106,20,62,42
1107,31,65,34
1108,44,69,25
1109,40,65,25
1110,18,56,38
1111,34,58,24
1112,24,56,32
1113,38,68,30
1114,30,59,29
1115,17,68,51
1116,9,59,50
1117,28,54,26
1118,16,52,36
1119,16,68,52
1120,36,63,27
1121,14,69,55
1122,31,68,37
1123,35,65,30
1124,32,60,28
1125,23,61,38
1126,29,57,28
1127,37,64,27
1128,35,55,20
1129,40,70,30
1130,35,64,29
1131,34,75,41
1132,14,55,41
1133,15,61,46
1134,36,58,22
1135,21,56,35
1136,26,69,43
1137,16,64,48
1138,45,65,20
1139,11,62,51
1140,35,51,16
1141,26,66,40
1142,18,65,47
1143,31,64,33
1144,34,64,30
1145,22,55,33
1146,29,60,31
1147,37,67,30
1148,36,57,21
1149,35,55,20
1150,26,63,37
1151,15,57,42
1152,4,56,52
1153,20,60,40
1154,22,61,39
1155,4,57,53
1156,21,63,42
1157,27,57,30
1158,20,58,38
1159,27,59,32
1160,16,52,36
1161,31,63,32
1162,28,67,39
1163,22,56,34
1164,41,66,25
1165,29,69,40
1166,25,57,32
1167,41,58,17
1168,36,57,21
1169,37,48,11
1170,31,65,34
1171,31,63,32
1172,27,64,37
1173,16,63,47
1174,22,54,32
1175,25,52,27
1176,19,57,38
1177,31,73,42
1178,16,57,41
1179,15,53,38
1180,21,59,38
1181,29,71,42
1182,15,67,52
1183,19,63,44
1184,4,53,49
1185,35,67,32
1186,37,63,26
1187,33,67,34
1188,29,68,39
1189,36,68,32
1190,20,68,48
1191,20,57,37
1192,34,62,28
1193,25,57,32
1194,31,67,36
1195,34,62,28
1196,28,65,37
1197,35,61,26
1198,30,61,31
1199,26,68,42
1200,40,67,27
1201,24,66,42
1202,33,74,41
1203,34,66,32
1204,21,66,45
1205,32,60,28
1206,35,65,30
1207,42,62,20
1208,33,56,23
1209,29,51,22
1210,34,70,36
1211,22,53,31
1212,23,51,28
1213,35,69,34
1214,13,59,46
1215,30,67,37
1216,23,63,40
1217,41,60,19
1218,14,65,51
1219,21,49,28
1220,26,58,32
1221,39,54,15
1222,28,61,33
1223,23,66,43
1224,20,68,48
1225,29,62,33
1226,38,60,22
1227,37,57,20
1228,32,61,29
1229,14,57,43
1230,26,54,28
1231,26,70,44
1232,20,65,45
1233,31,63,32
1234,51,75,24
1235,22,65,43
1236,39,57,18
1237,37,60,23
1238,22,59,37
1239,13,43,30
1240,22,61,39
1241,40,58,18
1242,29,63,34
1243,49,60,11
1244,23,64,41
1245,37,60,23
1246,43,71,28
1247,38,67,29
1248,21,56,35
1249,33,57,24
1250,25,70,45
1251,32,76,44
1252,18,67,49
1253,9,47,38
1254,24,67,43
1255,18,65,47
1256,27,68,41
1257,23,56,33
1258,24,62,38
1259,14,64,50
1260,5,62,57
1261,21,59,38
1262,38,58,20
1263,11,53,42
1264,29,58,29
1265,19,64,45
1266,25,68,43
1267,42,68,26
1268,35,63,28
1269,25,69,44
1270,33,66,33
1271,24,63,39
1272,37,63,26
1273,19,67,48
1274,19,52,33
1275,23,50,27
1276,11,58,47
1277,13,56,43
1278,11,69,58
1279,45,62,17
1280,24,59,35
1281,30,66,36
1282,26,59,33
1283,35,64,29
1284,42,68,26
1285,22,64,42
1286,33,52,19
1287,15,58,43
1288,30,61,31
1289,26,77,51
1290,26,68,42
1291,33,64,31
1292,6,62,56
1293,18,56,38
1294,20,60,40
1295,36,71,35
1296,28,59,31
1297,21,68,47
1298,40,66,26
1299,13,62,49
1300,30,63,33
1301,35,54,19
1302,16,70,54
1303,16,49,33
1304,20,61,41
1305,19,67,48
1306,31,58,27
1307,29,70,41
1308,10,55,45
1309,38,74,36
1310,34,61,27
1311,32,52,20
1312,20,71,51
1313,25,60,35
1314,29,66,37
1315,18,62,44
1316,33,65,32
1317,30,65,35
1318,28,65,37
1319,23,58,35
1320,40,60,20
1321,21,70,49
1322,42,59,17
1323,22,70,48
1324,20,63,43
1325,30,61,31
1326,18,54,36
1327,21,54,33
1328,9,57,48
1329,33,52,19
1330,20,64,44
1331,20,56,36
1332,22,49,27
1333,20,61,41
1334,12,53,41
1335,10,72,62
1336,16,62,46
1337,27,61,34
1338,21,48,27
1339,40,62,22
1340,16,62,46
1341,27,53,26
1342,14,48,34
1343,35,59,24
1344,39,57,18
1345,42,64,22
1346,31,62,31
1347,33,64,31
1348,38,69,31
1349,25,63,38
1350,22,67,45
1351,26,57,31
1352,44,63,19
1353,19,59,40
1354,15,74,59
1355,19,66,47
1356,34,59,25
1357,23,68,45
1358,20,68,48
1359,15,58,43
1360,44,72,28
1361,43,72,29
1362,4,61,57
1363,29,68,39
1364,34,77,43
1365,24,68,44
1366,38,58,20
1367,39,63,24
1368,39,64,25
1369,34,66,32
1370,26,63,37
1371,35,62,27
1372,15,56,41
1373,38,70,32
1374,21,64,43
1375,31,61,30
1376,39,62,23
1377,13,65,52
1378,38,61,23
1379,34,64,30
1380,33,62,29
1381,30,54,24
1382,25,63,38
1383,37,64,27
1384,33,68,35
1385,21,59,38
1386,11,55,44
1387,2,59,57
1388,40,69,29
1389,34,64,30
1390,26,65,39
1391,20,54,34
1392,30,58,28
1393,23,60,37
1394,21,63,42
1395,29,69,40
1396,20,53,33
1397,26,63,37
1398,14,59,45
1399,48,69,21
1400,12,55,43
1401,14,58,44
1402,24,52,28
1403,44,62,18
1404,12,52,40
1405,22,63,41
1406,27,78,51
1407,29,53,24
1408,37,59,22
1409,31,59,28
1410,14,58,44
1411,58,78,20
1412,34,55,21
1413,15,56,41
1414,13,60,47
1415,41,61,20
1416,29,58,29
1417,20,64,44
1418,34,64,30
1419,31,59,28
1420,19,65,46
1421,27,57,30
1422,42,73,31
1423,24,67,43
1424,27,69,42
1425,21,61,40
1426,21,70,49
1427,21,58,37
1428,29,65,36
1429,21,63,42
1430,38,66,28
1431,23,50,27
1432,55,74,19
1433,22,68,46
1434,40,66,26
1435,34,70,36
1436,25,65,40
1437,12,59,47
1438,26,60,34
1439,23,55,32
1440,41,66,25
1441,40,71,31
1442,30,64,34
1443,27,53,26
1444,30,50,20
1445,26,67,41
1446,12,59,47
1447,22,63,41
1448,20,58,38
1449,45,59,14
1450,18,64,46
1451,47,68,21
1452,15,66,51
1453,30,66,36
1454,31,61,30
1455,35,61,26
1456,24,58,34
1457,28,60,32
1458,35,67,32
1459,18,49,31
1460,38,67,29
1461,24,52,28
1462,29,67,38
1463,26,70,44
1464,26,54,28
1465,22,57,35
1466,26,56,30
1467,33,56,23
1468,36,62,26
1469,25,56,31
1470,30,58,28
1471,12,56,44
1472,23,77,54
1473,40,61,21
1474,30,61,31
1475,22,54,32
1476,23,58,35
1477,18,54,36
1478,25,50,25
1479,29,58,29
1480,34,64,30
1481,31,73,42
1482,25,69,44
1483,23,44,21
1484,28,62,34
1485,29,60,31
1486,27,53,26
1487,35,59,24
1488,13,61,48
1489,27,65,38
1490,6,63,57
1491,31,71,40
1492,48,69,21
1493,23,54,31
1494,45,66,21
1495,35,68,33
1496,44,62,18
1497,32,53,21
1498,22,64,42
1499,30,54,24
1500,34,64,30
1501,25,55,30
1502,27,63,36
1503,32,49,17
1504,39,74,35
1505,12,63,51
1506,30,54,24
1507,53,76,23
1508,63,77,14
