variant_id,correct_success_count,total_success_count,wrong_success_count
882,42,61,19
883,7,42,35
884,11,50,39
885,47,77,30
886,37,62,25
887,17,61,44
888,21,49,28
889,9,44,35
890,32,68,36
891,31,62,31
892,14,58,44
893,16,46,30
894,37,71,34
895,40,68,28
896,28,71,43
897,27,66,39
898,8,45,37
899,29,70,41
900,33,69,36
901,23,60,37
902,45,73,28
903,35,67,32
904,38,62,24
905,33,56,23
906,29,57,28
907,39,62,23
908,9,46,37
909,46,71,25
910,13,54,41
911,32,71,39
912,31,62,31
913,14,47,33
914,14,51,37
915,28,63,35
916,36,74,38
917,14,45,31
918,27,73,46
919,26,54,28
920,18,52,34
921,40,72,32
922,37,77,40
923,5,43,38
924,27,63,36
925,14,60,46
926,42,74,32
927,31,69,38
928,19,44,25
929,31,68,37
930,20,54,34
931,41,77,36
932,24,60,36
933,42,66,24
934,19,52,33
935,34,66,32
936,31,67,36
937,39,65,26
938,24,58,34
939,32,67,35
940,15,54,39
941,29,73,44
942,20,53,33
943,32,66,34
944,21,62,41
945,26,64,38
946,23,65,42
947,22,64,42
948,34,71,37
949,11,51,40
950,30,65,35
951,18,50,32
952,38,64,26
953,10,45,35
954,21,57,36
955,16,48,32
956,27,65,38
957,6,41,35
958,28,61,33
959,20,57,37
960,33,69,36
961,36,67,31
962,42,73,31
963,11,46,35
964,29,64,35
965,17,49,32
966,26,67,41
967,29,61,32
968,41,68,27
969,11,52,41
970,25,66,41
971,29,64,35
972,37,64,27
973,31,66,35
974,14,52,38
975,33,67,34
976,34,72,38
977,47,74,27
978,9,55,46
979,35,74,39
980,37,66,29
981,14,46,32
982,29,76,47
983,6,53,47
984,28,63,35
985,33,65,32
986,36,63,27
987,35,69,34
988,28,67,39
989,31,62,31
990,35,57,22
991,17,56,39
992,30,69,39
993,33,78,45
994,12,60,48
995,34,69,35
996,30,65,35
997,42,78,36
998,28,71,43
999,40,68,28
1000,8,51,43
1001,38,64,26
1002,6,45,39
1003,21,66,45
1004,40,75,35
1005,22,64,42
1006,33,72,39
1007,15,51,36
1008,26,68,42
1009,38,76,38
1010,30,60,30
1011,12,48,36
1012,40,71,31
1013,16,53,37
1014,33,67,34
1015,30,73,43
1016,17,45,28
1017,44,75,31
1018,26,61,35
1019,24,60,36
1020,17,50,33
1021,28,73,45
1022,36,66,30
1023,14,48,34
1024,26,60,34
1025,9,34,25
1026,12,47,35
1027,32,69,37
1028,18,59,41
1029,42,67,25
1030,38,68,30
1031,34,71,37
1032,8,39,31
1033,38,70,32
1034,27,65,38
1035,35,65,30
1036,11,62,51
1037,35,65,30
1038,18,60,42
1039,27,70,43
1040,28,63,35
1041,40,63,23
1042,33,65,32
1043,14,44,30
1044,12,41,29
1045,38,71,33
1046,17,52,35
1047,31,62,31
1048,25,59,34
1049,42,79,37
1050,20,61,41
1051,16,55,39
1052,19,51,32
1053,42,75,33
1054,17,49,32
1055,16,59,43
1056,31,69,38
1057,35,76,41
1058,9,49,40
1059,35,66,31
1060,26,65,39
1061,28,64,36
1062,28,62,34
1063,20,60,40
1064,14,48,34
1065,21,57,36
1066,21,60,39
1067,31,62,31
1068,41,80,39
1069,17,58,41
1070,2,42,40
1071,28,53,25
1072,16,61,45
1073,28,71,43
1074,31,61,30
1075,20,60,40
1076,17,62,45
1077,14,43,29
1078,23,61,38
1079,10,53,43
1080,27,59,32
1081,25,64,39
1082,28,64,36
1083,11,48,37
1084,35,76,41
1085,39,61,22
1086,27,64,37
1087,27,60,33
1088,35,68,33
1089,35,73,38
1090,28,68,40
1091,40,71,31
1092,14,54,40
1093,16,67,51
1094,25,50,25
1095,26,61,35
1096,20,60,40
1097,21,55,34
1098,32,64,32
1099,5,45,40
1100,29,60,31
1101,20,67,47
1102,35,66,31
1103,20,67,47
1104,20,54,34
1105,25,65,40
1106,32,60,28
1107,21,59,38
1108,45,73,28
1109,37,68,31
1110,32,69,37
1111,36,71,35
1112,29,63,34
1113,21,49,28
1114,32,69,37
1115,33,68,35
1116,25,56,31
1117,48,71,23
1118,38,72,34
1119,11,47,36
1120,20,61,41
1121,45,66,21
1122,32,52,20
1123,23,57,34
1124,39,71,32
1125,13,48,35
1126,36,67,31
1127,32,62,30
1128,41,75,34
1129,26,58,32
1130,39,60,21
1131,35,67,32
1132,44,77,33
1133,21,66,45
1134,12,46,34
1135,43,70,27
1136,34,69,35
1137,5,35,30
1138,35,72,37
1139,18,53,35
1140,39,63,24
1141,14,49,35
1142,17,47,30
1143,35,74,39
1144,17,54,37
1145,42,72,30
1146,18,62,44
1147,11,42,31
1148,28,57,29
1149,35,63,28
1150,45,67,22
1151,40,76,36
1152,27,61,34
1153,16,56,40
1154,35,60,25
1155,23,60,37
1156,43,72,29
1157,25,64,39
1158,36,75,39
1159,36,68,32
1160,23,55,32
1161,16,52,36
1162,27,56,29
1163,35,76,41
1164,41,68,27
1165,11,52,41
1166,40,66,26
1167,21,58,37
1168,12,55,43
1169,28,67,39
1170,10,43,33
1171,20,59,39
1172,25,57,32
1173,39,70,31
1174,43,71,28
1175,23,62,39
1176,18,48,30
1177,44,75,31
1178,25,62,37
1179,6,57,51
1180,32,64,32
1181,26,65,39
1182,32,60,28
1183,23,49,26
1184,20,59,39
1185,31,55,24
1186,29,65,36
1187,20,61,41
1188,20,62,42
1189,24,59,35
1190,39,81,42
1191,18,67,49
1192,32,69,37
1193,38,71,33
1194,21,58,37
1195,29,62,33
1196,19,53,34
1197,22,65,43
1198,17,46,29
1199,14,53,39
1200,30,69,39
1201,26,57,31
1202,23,56,33
1203,33,67,34
1204,15,48,33
1205,17,55,38
1206,9,56,47
1207,28,66,38
1208,36,79,43
1209,40,71,31
1210,34,54,20
1211,7,45,38
1212,28,67,39
1213,37,71,34
1214,23,66,43
1215,20,57,37
1216,19,55,36
1217,20,54,34
1218,34,65,31
1219,30,55,25
1220,37,69,32
1221,32,73,41
1222,42,77,35
1223,23,59,36
1224,24,64,40
1225,11,49,38
1226,19,54,35
1227,9,43,34
1228,30,64,34
1229,24,52,28
1230,20,54,34
1231,40,77,37
1232,26,67,41
1233,18,63,45
1234,34,70,36
1235,32,70,38
1236,26,71,45
1237,23,64,41
1238,41,68,27
1239,19,53,34
1240,44,67,23
1241,24,60,36
1242,29,64,35
1243,43,80,37
1244,31,60,29
1245,18,55,37
1246,38,71,33
1247,25,60,35
1248,27,60,33
1249,26,58,32
1250,4,49,45
1251,24,63,39
1252,29,63,34
1253,14,49,35
1254,29,64,35
1255,31,60,29
1256,35,68,33
1257,28,58,30
1258,45,73,28
1259,32,59,27
1260,5,45,40
1261,38,66,28
1262,46,80,34
1263,39,73,34
1264,29,67,38
1265,39,79,40
1266,34,65,31
1267,16,53,37
1268,36,73,37
1269,16,50,34
1270,27,61,34
1271,25,55,30
1272,19,46,27
1273,17,57,40
1274,20,58,38
1275,31,68,37
1276,36,65,29
1277,28,62,34
1278,29,67,38
1279,28,66,38
1280,8,38,30
1281,23,57,34
1282,21,59,38
1283,28,67,39
1284,19,65,46
1285,27,68,41
1286,19,52,33
1287,29,57,28
1288,33,73,40
1289,30,69,39
1290,20,61,41
1291,21,65,44
1292,31,62,31
1293,16,55,39
1294,20,55,35
1295,32,62,30
1296,14,56,42
1297,21,56,35
1298,16,61,45
1299,14,54,40
1300,13,49,36
1301,32,62,30
1302,37,65,28
1303,11,52,41
1304,41,70,29
1305,18,55,37
1306,22,54,32
1307,41,71,30
1308,36,72,36
1309,41,70,29
1310,26,68,42
1311,27,60,33
1312,22,66,44
1313,16,52,36
1314,15,51,36
1315,27,56,29
1316,11,46,35
1317,18,56,38
1318,42,73,31
1319,36,67,31
1320,28,65,37
1321,29,59,30
1322,38,55,17
1323,33,64,31
1324,31,77,46
1325,28,57,29
1326,23,69,46
1327,20,58,38
1328,34,69,35
1329,40,67,27
1330,26,66,40
1331,18,49,31
1332,31,71,40
1333,6,48,42
1334,38,64,26
1335,6,56,50
1336,26,54,28
1337,7,47,40
1338,32,64,32
1339,20,61,41
1340,38,70,32
1341,3,48,45
1342,15,53,38
1343,18,48,30
1344,13,49,36
1345,20,51,31
1346,33,73,40
1347,38,68,30
1348,34,58,24
1349,34,64,30
1350,27,81,54
1351,18,61,43
1352,41,70,29
1353,26,69,43
1354,37,66,29
1355,24,61,37
1356,29,68,39
1357,30,72,42
1358,41,70,29
1359,11,48,37
1360,25,57,32
1361,35,66,31
1362,37,69,32
1363,37,77,40
1364,32,67,35
1365,31,68,37
1366,27,49,22
1367,9,50,41
1368,32,60,28
1369,22,55,33
1370,20,59,39
1371,5,53,48
1372,30,62,32
1373,21,53,32
1374,30,64,34
1375,11,46,35
1376,12,53,41
1377,28,66,38
1378,17,51,34
1379,30,53,23
1380,43,79,36
1381,33,70,37
1382,27,67,40
1383,36,63,27
1384,44,72,28
1385,36,71,35
1386,22,68,46
1387,23,63,40
1388,29,54,25
1389,21,56,35
1390,45,73,28
1391,41,77,36
1392,18,55,37
1393,6,36,30
1394,13,48,35
1395,20,58,38
1396,11,52,41
1397,30,64,34
1398,39,68,29
1399,27,59,32
1400,10,45,35
1401,39,69,30
1402,27,67,40
1403,16,64,48
1404,41,72,31
1405,19,55,36
1406,45,73,28
1407,44,78,34
1408,15,48,33
1409,10,47,37
1410,14,48,34
1411,15,56,41
1412,36,73,37
1413,7,49,42
1414,33,70,37
1415,17,55,38
1416,34,64,30
1417,34,70,36
1418,31,58,27
1419,15,60,45
1420,34,63,29
1421,11,55,44
1422,22,62,40
1423,27,54,27
1424,13,54,41
1425,36,63,27
1426,28,68,40
1427,14,49,35
1428,6,44,38
1429,9,47,38
1430,20,60,40
1431,15,50,35
1432,19,61,42
1433,13,49,36
1434,46,69,23
1435,8,47,39
1436,11,50,39
1437,18,55,37
1438,10,39,29
1439,50,77,27
1440,27,72,45
1441,18,59,41
1442,29,63,34
1443,15,52,37
1444,50,80,30
1445,33,57,24
1446,37,64,27
1447,28,69,41
1448,16,57,41
1449,38,67,29
1450,34,60,26
1451,33,71,38
1452,28,61,33
1453,34,61,27
1454,31,53,22
1455,28,70,42
1456,7,41,34
1457,36,68,32
1458,11,50,39
1459,24,62,38
1460,14,56,42
1461,36,68,32
1462,32,69,37
1463,13,48,35
1464,45,82,37
1465,7,50,43
1466,15,52,37
1467,30,63,33
1468,23,58,35
1469,33,62,29
1470,24,64,40
1471,40,67,27
1472,14,43,29
1473,27,64,37
1474,31,75,44
1475,10,56,46
1476,35,64,29
1477,11,58,47
1478,12,45,33
1479,40,67,27
1480,6,47,41
1481,26,58,32
1482,8,42,34
1483,25,62,37
1484,18,59,41
1485,24,56,32
1486,18,59,41
1487,38,55,17
1488,12,54,42
1489,10,44,34
1490,24,59,35
1491,27,68,41
1492,21,56,35
1493,18,63,45
1494,36,67,31
1495,21,57,36
1496,36,72,36
1497,38,74,36
1498,8,49,41
1499,27,52,25
1500,28,69,41
1501,26,70,44
1502,10,49,39
1503,49,72,23
1504,40,65,25
1505,18,52,34
1506,33,66,33
1507,38,65,27
1508,44,69,25
1509,36,75,39
1510,16,48,32
1511,38,66,28
1512,17,51,34
1513,6,43,37
1514,38,65,27
1515,34,64,30
1516,14,52,38
1517,26,62,36
1518,15,46,31
1519,31,65,34
1520,32,61,29
1521,37,62,25
1522,23,63,40
1523,36,60,24
1524,29,68,39
1525,40,69,29
1526,35,66,31
1527,6,49,43
1528,29,61,32
1529,33,66,33
1530,34,65,31
1531,18,56,38
1532,8,45,37
1533,3,34,31
1534,40,70,30
1535,38,72,34
1536,17,44,27
1537,44,75,31
1538,46,75,29
1539,30,66,36
1540,4,45,41
1541,33,71,38
1542,35,66,31
1543,7,55,48
1544,17,54,37
1545,13,49,36
1546,17,49,32
1547,10,47,37
1548,8,56,48
1549,44,72,28
1550,27,59,32
1551,17,57,40
1552,21,49,28
1553,21,60,39
1554,12,66,54
1555,26,65,39
1556,33,68,35
1557,16,51,35
1558,26,66,40
1559,11,45,34
1560,16,57,41
1561,20,57,37
1562,19,48,29
1563,53,80,27
1564,30,62,32
1565,32,72,40
1566,11,44,33
1567,15,59,44
1568,16,44,28
1569,18,48,30
1570,36,73,37
1571,7,52,45
1572,27,61,34
1573,22,62,40
1574,9,50,41
1575,37,70,33
1576,30,65,35
1577,35,83,48
1578,29,60,31
1579,13,54,41
1580,30,64,34
1581,34,70,36
1582,20,62,42
1583,32,71,39
1584,34,69,35
1585,31,60,29
1586,22,67,45
1587,44,75,31
1588,7,46,39
1589,23,60,37
1590,17,43,26
1591,41,61,20
1592,17,55,38
1593,17,54,37
1594,14,52,38
1595,36,70,34
1596,9,39,30
1597,36,60,24
1598,7,44,37
1599,23,53,30
1600,17,51,34
1601,25,62,37
1602,34,62,28
1603,38,66,28
1604,29,63,34
1605,15,63,48
1606,33,65,32
1607,26,64,38
1608,34,72,38
1609,24,60,36
1610,33,73,40
1611,37,72,35
1612,25,70,45
1613,36,66,30
1614,29,54,25
1615,33,65,32
1616,13,41,28
1617,26,57,31
1618,43,67,24
1619,36,70,34
1620,12,49,37
1621,13,40,27
1622,30,60,30
1623,12,46,34
1624,10,51,41
1625,37,65,28
1626,18,51,33
1627,16,44,28
1628,20,58,38
1629,8,47,39
1630,19,51,32
1631,23,60,37
1632,49,76,27
1633,13,54,41
1634,12,57,45
1635,36,61,25
1636,15,44,29
1637,20,53,33
1638,21,57,36
1639,16,52,36
1640,16,53,37
1641,23,57,34
1642,23,62,39
1643,38,76,38
1644,11,42,31
1645,33,71,38
1646,32,68,36
1647,28,62,34
1648,32,69,37
1649,35,60,25
1650,22,56,34
1651,26,53,27
1652,35,65,30
1653,13,55,42
1654,22,53,31
