variant_id,mixed_success_correct,correct_success,mixed_failure_correct,correct_failure
618,9,21,24,20
619,21,20,21,15
620,0,3,46,38
621,28,20,3,11
622,24,22,5,4
623,22,18,26,31
624,8,9,38,44
625,18,14,12,7
626,34,26,5,11
627,14,12,24,27
628,6,7,44,47
629,21,13,20,22
630,17,16,17,11
631,14,16,21,15
632,25,23,14,14
633,35,23,3,5
634,1,1,38,47
635,20,22,20,11
636,15,12,27,38
637,26,23,8,2
638,27,23,7,2
639,15,13,17,19
640,22,20,10,8
641,16,18,21,17
642,0,1,27,43
643,13,13,26,22
644,8,5,36,29
645,18,20,22,11
646,21,13,25,20
647,3,4,33,39
648,2,1,42,34
649,29,18,4,8
650,19,18,10,19
651,5,6,33,33
652,15,10,20,26
653,12,14,24,23
654,21,21,7,4
655,10,6,36,34
656,12,6,20,16
657,4,6,48,43
658,21,15,8,9
659,6,12,44,38
660,15,11,14,8
661,20,23,16,17
662,6,8,27,30
663,4,6,30,35
664,14,16,34,37
665,16,21,4,6
666,19,17,13,20
667,13,19,10,11
668,25,21,7,3
669,6,7,30,31
670,16,14,23,21
671,10,11,34,42
672,12,8,38,52
673,24,23,23,13
674,21,18,21,15
675,4,5,41,46
676,26,24,7,7
677,34,24,4,5
678,26,25,11,10
679,28,15,14,10
680,22,25,11,7
681,29,19,8,11
682,5,1,25,31
683,30,19,8,7
684,12,6,28,28
685,8,9,41,38
686,8,12,26,30
687,34,17,9,12
688,21,17,16,24
689,15,23,17,6
690,12,17,20,22
691,5,3,43,29
692,24,19,11,14
693,27,23,11,13
694,18,19,9,11
695,3,6,39,40
696,7,9,24,23
697,9,8,38,36
698,29,19,8,12
699,4,4,44,38
700,16,8,32,30
701,30,26,8,7
702,20,16,9,6
703,21,14,13,20
704,28,25,13,5
705,1,8,37,36
706,22,21,19,19
707,2,4,45,43
708,2,4,32,27
709,14,16,20,15
710,23,21,13,10
711,18,18,6,6
712,23,18,14,5
713,18,15,10,24
714,24,14,10,17
715,8,10,31,22
716,7,8,42,29
717,24,24,6,7
718,10,13,25,24
719,26,29,4,3
720,2,2,46,41
721,5,5,32,39
722,4,7,39,35
723,13,13,27,37
724,32,25,11,9
725,4,9,35,27
726,25,23,15,12
727,16,11,20,16
728,8,6,32,35
729,15,17,19,12
730,2,5,26,36
731,17,12,18,12
732,18,18,20,12
733,5,5,32,39
734,11,3,27,59
735,7,8,26,52
736,15,20,19,16
737,12,20,13,15
738,18,21,32,20
739,35,24,5,6
740,33,18,7,13
741,5,5,28,30
742,3,12,36,33
743,26,21,11,11
744,17,14,16,9
745,18,9,23,14
