category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,object_name,usable_success_fraction_est
afar,0,1471,15,100,97,0,48586,46789,1797,599,4,22,0.5948494076728821,0.6388261914253235,1.0470538139343262,0.050000000745058,0.2957811951637268,32,17,False,0.97,0.15,485.86,482.3608247422681,,3239.0666666666666,500.8865979381444,0.3087309101387231,1.9964598855637423,4,7,1,3.75,4,candy_cane_1,0.15463917525773196
afar,0,60,15,98,89,9,48712,44391,4321,599,4,20,0.4707160592079162,0.588868260383606,0.6014170050621033,0.050000000745058,0.2497314214706421,32,17,False,0.9081632653061223,0.1530612244897959,497.0612244897959,498.7752808988764,480.1111111111111,3247.4666666666667,547.3258426966293,0.3079323370011496,1.8270651995401543,4,7,1,3.75,4,can_1,0.16853932584269662
afar,0,1490,16,115,112,0,48737,47314,1423,599,4,23,0.6475529670715332,0.5229109525680542,0.6181280016899109,0.050000000745058,0.7706459760665894,32,16,False,0.9739130434782608,0.1391304347826087,423.8,422.44642857142856,,3046.0625,435.1517857142857,0.3282926729179063,2.298048710425344,3,9,0,4.0,4,canister_0,0.14285714285714285
afar,0,1865,16,102,94,4,48510,44992,3518,599,4,29,0.6220390796661377,0.534173309803009,0.6203802824020386,0.050000000745058,0.6276504397392273,32,16,False,0.9215686274509804,0.1568627450980392,475.5882352941176,478.6382978723405,879.5,3031.875,516.063829787234,0.3298289012574726,1.937744794887652,3,8,0,4.0,4,chicken_(animal)_2,0.1702127659574468
afar,0,358,17,118,117,0,49165,48566,599,599,4,19,0.6966222524642944,0.5175691246986389,0.86296546459198,0.050000000745058,0.6643967032432556,32,15,False,0.9915254237288136,0.1440677966101695,416.6525423728813,415.0940170940171,,2892.058823529412,420.2136752136752,0.3457744330316282,2.379741686158853,2,14,0,4.25,4,bottle_3,0.1452991452991453
afar,0,1335,17,165,117,22,49283,40785,8498,599,4,13,0.7534548044204712,0.5701601505279541,0.6838695406913757,0.050000000745058,0.6025640368461609,32,15,False,0.7090909090909091,0.103030303030303,298.6848484848485,348.5897435897436,386.27272727272725,2899.0,421.22222222222223,0.3449465332873405,2.374043787918755,3,10,0,4.25,4,beer_can_4,0.1452991452991453
afar,0,284,17,114,109,0,49245,48204,1041,590,4,10,0.5355719327926636,0.6506258249282837,0.6910825967788696,0.050000000745058,0.6544902920722961,32,15,False,0.956140350877193,0.1491228070175438,431.9736842105263,442.2385321100917,,2896.764705882353,451.7889908256881,0.3452127119504518,2.213422682505838,4,8,1,4.25,4,beer_bottle_0,0.1559633027522936
afar,0,1437,17,109,106,0,48582,47141,1441,599,4,6,0.4832476377487182,0.6107610464096069,0.6685613989830017,0.050000000745058,0.2583600580692291,32,15,False,0.9724770642201837,0.1559633027522936,445.70642201834863,444.7264150943397,,2857.764705882353,458.3207547169811,0.3499238401053888,2.181878061833601,4,7,2,4.25,4,aerosol_can_1,0.16037735849056603
afar,0,1995,17,135,106,13,48943,41285,7658,599,4,13,0.7664817571640015,0.610790491104126,0.8398910760879517,0.050000000745058,0.6716989278793335,32,15,False,0.7851851851851852,0.1259259259259259,362.5407407407407,389.4811320754717,589.0769230769231,2879.0,461.7264150943397,0.3473428273706148,2.165784688310892,4,8,1,4.25,4,beer_can_4,0.16037735849056603
afar,0,663,17,94,89,1,48903,45908,2995,599,4,25,0.4164512455463409,0.6536098718643188,1.0962724685668943,0.050000000745058,0.2811291217803955,32,15,False,0.946808510638298,0.1808510638297872,520.2446808510638,515.8202247191011,2995.0,2876.6470588235293,549.4719101123595,0.3476269349528659,1.819929247694416,4,7,2,4.25,4,canister_2,0.19101123595505617
afar,0,100,18,148,120,20,49325,43539,5786,567,4,12,0.7831765413284302,0.6451619863510132,0.7816890478134155,0.050000000745058,0.459712266921997,32,14,False,0.8108108108108109,0.1216216216216216,333.27702702702703,362.825,289.3,2740.277777777778,411.0416666666667,0.3649265078560568,2.432843385707045,3,8,0,4.5,4,beer_can_1,0.15
afar,0,1771,18,117,116,0,48807,48609,198,570,4,27,0.6852947473526001,0.6232972145080566,0.8127801418304443,0.050000000745058,0.4051139950752258,32,14,False,0.9914529914529916,0.1538461538461538,417.1538461538461,419.0431034482759,,2711.5,420.75,0.368799557440531,2.3767082590612003,4,7,2,4.5,4,chalice_2,0.15517241379310345
afar,0,79,18,124,114,2,49873,46966,2907,599,4,16,0.7006703019142151,0.6307946443557739,0.6917995810508728,0.050000000745058,0.7853354215621948,32,14,False,0.9193548387096774,0.1451612903225806,402.2016129032258,411.9824561403509,1453.5,2770.722222222222,437.4824561403509,0.3609167284903655,2.2858059471056484,3,14,0,4.5,4,boom_microphone_1,0.15789473684210525
afar,0,1377,18,117,110,0,48937,46799,2138,599,4,31,0.6197900772094727,0.6215015053749084,0.6480448842048645,0.050000000745058,0.3932937383651733,32,14,False,0.9401709401709402,0.1538461538461538,418.2649572649573,425.44545454545454,,2718.722222222222,444.8818181818182,0.3678198500112389,2.2477879722909044,3,14,0,4.5,4,cider_0,0.16363636363636364
afar,0,1654,18,120,106,5,48847,43574,5273,599,4,2,0.7038525342941284,0.6125147938728333,0.7816033363342285,0.050000000745058,0.7979819774627686,32,14,False,0.8833333333333333,0.15,407.0583333333333,411.0754716981132,1054.6,2713.722222222222,460.8207547169811,0.3684975535856859,2.170041148893484,4,11,1,4.5,4,Dixie_cup_3,0.16981132075471697
afar,0,1728,18,111,106,2,48851,46475,2376,599,4,30,0.6369169354438782,0.6179313659667969,1.124715805053711,0.050000000745058,0.7563589811325073,32,14,False,0.954954954954955,0.1621621621621621,440.0990990990991,438.4433962264151,1188.0,2713.9444444444443,460.85849056603774,0.3684673804016294,2.169863462365152,3,11,0,4.5,4,chocolate_milk_4,0.16981132075471697
afar,0,1640,18,106,104,1,48811,48353,458,596,4,6,0.5021252036094666,0.5511882901191711,1.0025135278701782,0.050000000745058,0.3480101823806762,32,14,False,0.981132075471698,0.1698113207547169,460.4811320754717,464.9326923076923,458.0,2711.722222222222,469.33653846153845,0.3687693347810944,2.130667267624101,4,13,1,4.5,4,aerosol_can_1,0.17307692307692307
