category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,eff_median,eff_mad,robust_z_attempt_steps_per_stored,object_name
afar,0,58,45,124,121,2,48475,47831,644,599,4,23,0.721792459487915,0.5952844619750977,0.9780389070510864,0.050000000745058,0.7324175834655762,32,0,True,0.9758064516129032,0.3629032258064516,390.9274193548387,395.297520661157,322.0,1077.2222222222222,400.6198347107438,0.9283135636926252,2.496132026817947,4,25,2,11.25,4,1054.0032377428306,248.72454921824044,0.0629660605701123,canister_0
afar,0,59,37,125,122,2,48575,48098,477,563,4,17,0.6620714664459229,0.5428054928779602,1.0373120307922363,0.050000000745058,0.5204052329063416,32,0,True,0.976,0.296,388.6,394.24590163934425,238.5,1312.837837837838,398.155737704918,0.7617086978898611,2.5115800308800824,4,14,5,9.25,4,1054.0032377428306,248.72454921824044,0.701916792342423,bottle_0
afar,0,60,15,98,89,9,48712,44391,4321,599,4,20,0.4707160592079162,0.588868260383606,0.6014170050621033,0.050000000745058,0.2497314214706421,32,17,False,0.9081632653061223,0.1530612244897959,497.0612244897959,498.7752808988764,480.1111111111111,3247.4666666666667,547.3258426966293,0.3079323370011496,1.8270651995401543,4,7,1,3.75,4,1054.0032377428306,248.72454921824044,5.948311445168065,can_1
afar,0,61,31,112,96,8,49403,43111,6292,599,4,12,0.7299089431762695,0.5630187392234802,0.7400937676429749,0.050000000745058,0.308195412158966,32,1,False,0.8571428571428571,0.2767857142857143,441.0982142857143,449.0729166666667,786.5,1593.645161290323,514.6145833333334,0.6274922575552092,1.9432018298483893,4,17,2,7.75,4,1054.0032377428306,248.72454921824044,1.4634199904144,beer_can_1
afar,0,62,56,139,131,7,49822,48417,1405,529,4,1,0.721420407295227,0.5493241548538208,1.100419521331787,0.050000000745058,0.3749186396598816,32,0,True,0.9424460431654677,0.4028776978417266,358.431654676259,369.5954198473282,200.7142857142857,889.6785714285714,380.3206106870229,1.1240014451447151,2.62936052346353,4,28,3,14.0,4,1054.0032377428306,248.72454921824044,-0.445621422482568,Dixie_cup_0
afar,0,63,50,130,121,3,48817,46945,1872,505,4,11,0.777379035949707,0.5349113345146179,0.6580625772476196,0.050000000745058,0.5404224991798401,32,0,True,0.9307692307692308,0.3846153846153846,375.5153846153846,387.97520661157023,624.0,976.34,403.44628099173553,1.0242333613290453,2.478644734416289,4,23,5,12.5,4,1054.0032377428306,248.72454921824044,-0.2106099057056713,beer_bottle_3
afar,0,64,47,102,102,0,48411,48411,0,588,4,18,0.4878880977630615,0.6312982439994812,1.1829928159713743,0.050000000745058,0.4652416706085205,32,0,True,1.0,0.4607843137254901,474.61764705882354,474.61764705882354,,1030.021276595745,474.61764705882354,0.970853731589928,2.106959162173886,4,20,4,11.75,4,1054.0032377428306,248.72454921824044,-0.0650351275921548,bottle_2
afar,0,65,49,108,105,0,48908,47677,1231,599,4,16,0.5670788288116455,0.5701323747634888,0.813694417476654,0.050000000745058,0.6632983684539795,32,0,True,0.9722222222222222,0.4537037037037037,452.8518518518519,454.06666666666666,,998.1224489795918,465.79047619047617,1.0018810828494316,2.1468880346773536,4,26,3,12.25,4,1054.0032377428306,248.72454921824044,-0.1515394927411548,boom_microphone_1
afar,0,66,82,119,116,0,49358,48521,837,599,4,29,0.596125602722168,0.6999348998069763,0.8967463970184326,0.050000000745058,0.7301435470581055,32,0,True,0.9747899159663864,0.6890756302521008,414.7731092436975,418.2844827586207,,601.9268292682926,425.5,1.6613314964139552,2.3501762632197414,4,30,3,20.5,4,1054.0032377428306,248.72454921824044,-1.2259567399940186,chicken_(animal)_2
afar,0,67,66,126,124,1,49038,48464,574,503,4,1,0.6292114853858948,0.5316832661628723,1.086637258529663,0.050000000745058,0.447888433933258,32,0,True,0.984126984126984,0.5238095238095238,389.1904761904762,390.8387096774193,574.0,743.0,395.46774193548384,1.3458950201884252,2.528651250050981,4,22,12,16.5,4,1054.0032377428306,248.72454921824044,-0.8433895428371148,Dixie_cup_0
