category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts
far_recovery,2,18,0,0,0,0,0,0,0,0,4,15,0.7748333215713501,0.6703917384147644,1.1390502452850342,0.05000000074505806,0.3453517556190491,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,19,0,0,0,0,0,0,0,0,4,14,0.6622380018234253,0.5893169045448303,0.9704196453094482,0.05000000074505806,0.5495393872261047,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,20,0,0,0,0,0,0,0,0,4,20,0.5255187749862671,0.6657525897026062,0.8666477203369141,0.05000000074505806,0.7052782773971558,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,21,0,0,0,0,0,0,0,0,4,15,0.47920775413513184,0.5145071148872375,1.1167681217193604,0.05000000074505806,0.46251481771469116,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,22,0,0,0,0,0,0,0,0,4,25,0.5664768815040588,0.5975950956344604,0.6553056240081787,0.05000000074505806,0.4344223737716675,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,23,0,0,0,0,0,0,0,0,4,0,0.513731837272644,0.6057800650596619,1.0351035594940186,0.05000000074505806,0.4180282950401306,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,24,0,0,0,0,0,0,0,0,4,12,0.5359103083610535,0.6085019111633301,1.022908091545105,0.05000000074505806,0.7703824639320374,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,25,0,0,0,0,0,0,0,0,4,11,0.6095763444900513,0.6734923720359802,0.846439003944397,0.05000000074505806,0.6999205350875854,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,26,0,0,0,0,0,0,0,0,4,8,0.7192255258560181,0.6332253217697144,0.792133629322052,0.05000000074505806,0.2396012842655182,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,27,0,0,0,0,0,0,0,0,4,21,0.708707332611084,0.507932722568512,0.6058072447776794,0.05000000074505806,0.6690700650215149,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,28,0,0,0,0,0,0,0,0,4,28,0.4044898450374603,0.612485408782959,0.9241806268692017,0.05000000074505806,0.43934136629104614,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
